Ancestry,Reference_name,Value
African Ancestry,HG02572,38.94156471345782
African Ancestry,HG03453,37.82759175788796
African Ancestry,HG02486,42.11928525434643
African Ancestry,HG03516,42.31487443657437
African Ancestry,HG02559,41.591274951706374
African Ancestry,HG02717,42.46216999356085
African Ancestry,HG02630,41.661300708306506
African Ancestry,HG02622,42.079040566645205
African Ancestry,HG02886,41.935769478428846
African Ancestry,HG01891,41.81664520283322
African Ancestry,HG03098,43.579362524146816
African Ancestry,HG03540,43.13184159690921
African Ancestry,HG02257,44.04539600772698
African Ancestry,HG02055,42.63280746941403
African Ancestry,HG03579 ,38.82726980038635
American Ancestry,HG01109,40.310688989053446
American Ancestry,HG01071,38.75482936252415
American Ancestry,HG01243,36.951867353509336
American Ancestry,HG01106,39.78187379265937
American Ancestry,HG01358,40.684159690920794
American Ancestry,HG00735,42.963618802318095
American Ancestry,HG01928,40.28734707018673
American Ancestry,HG01258,40.611719253058595
American Ancestry,HG01175,39.849484867997425
American Ancestry,HG01952,40.87330972311655
American Ancestry,HG02148,40.034610431423054
American Ancestry,HG01978,40.92804249839021
American Ancestry,HG00733,41.24114616870573
American Ancestry,HG00741,41.16387636831938
American Ancestry,HG01361,42.619929169349646
American Ancestry,HG01123,39.03412749517064
East Asian Ancestry,HG00673,37.0492594977463
East Asian Ancestry,HG00621,39.658725048293626
East Asian Ancestry,HG02080,39.594333547971665
East Asian Ancestry,HG00438,38.836928525434644
European Ancestry,HG002,43.43367675466838
European Ancestry,T2T,42.11928525434643
European Ancestry,GRCh38,0.8040888602704443
South Asian Ancestry,HG03492,39.93077913715389
